Resolution,Similarity,Time
10,0.0653291772253717,2.307420253753662
1,1,3.3818817138671875
2,0.7559335885435251,2.5298469066619873
5,0.4329639207188915,2.262479543685913
10,0.3050764691274228,2.3459956645965576
1,1,3.3720033168792725
2,0.7791897689532291,2.5793983936309814
5,0.45872566780090646,2.4072375297546387
10,0.19857482582365454,2.4007272720336914
1,1,3.449629783630371
2,0.6873371154180746,2.626854658126831
5,0.4153443972170757,2.20307993888855
10,0.29651854017907997,2.275536060333252
1,1,2.730471611022949
2,0.24995790608004578,2.164428472518921
5,0.03996817699651462,2.014821767807007
10,9.588509266490779e-5,2.0927674770355225
1,1,2.6531121730804443
2,0.7668895609821508,2.4261481761932373
5,0.4602949120029019,2.163633108139038
10,0.24494550253509398,2.167038679122925
1,1,3.3953001499176025
2,0.24995790608004578,2.501983165740967
5,0.03996817699651462,1.960514783859253
10,0.00997204963715041,2.3323702812194824
1,1,2.7047390937805176
2,0.24977845608507285,2.148510456085205
5,0.03982374950768019,2.3383026123046875
10,0.009875935407640804,1.9838495254516602
1,1,3.457446813583374
2,0.8972850593352302,2.518932342529297
5,0.7963826419712123,2.400905132293701
10,0.7290647952535226,2.309918165206909
1,1,3.489788293838501
2,0.7826235399160484,2.609902858734131
5,0.6056475951429348,2.2654812335968018
10,0.5102947423918706,2.3974838256835938
1,1,3.3675544261932373
2,0.7267327810988686,2.6761841773986816
5,0.40720086680813605,2.0970664024353027
10,0.008229814283212601,2.3774075508117676
1,1,3.25661301612854
2,0.2499682703341363,2.4056191444396973
5,0.039944051112893494,2.4130139350891113
10,0.00997423681975849,2.3392844200134277
1,1,3.326530694961548
2,0.7518265143813878,2.6899285316467285
5,0.3156461157673463,2.3333067893981934
10,0.17451086865013218,2.21964693069458
1,1,3.470651626586914
2,0.855842133771619,2.418409585952759
5,0.42002701668927567,2.182039737701416
10,0.18311832202114622,2.0949859619140625
1,1,3.1667134761810303
2,0.49991581216009157,2.2385973930358887
5,0.12826996338416322,2.2383761405944824
10,0.7266687466735184,2.3734657764434814
1,1,3.53263258934021
2,0.566958630095469,2.5367822647094727
5,0.2671721087392813,2.422585964202881
10,0.16272728750450288,2.4027695655822754
1,1,3.3526079654693604
2,0.011801397097757649,2.479440927505493
5,0.07380503012764054,2.379687547683716
10,0.29581205616798095,2.368910312652588
1,1,3.1141178607940674
2,0.24995790608004578,2.3547370433807373
5,0.03996817699651462,2.4388108253479004
10,0.00997204963715041,2.377845525741577
1,1,3.3989815711975098
2,0.24995790608004578,2.549597978591919
5,0.03996817699651462,2.4368696212768555
10,0.00997204963715041,2.3114211559295654
1,1,3.4692165851593018
2,0.700934591365518,2.6265716552734375
5,0.23980906197908775,2.358212947845459
10,0.10377164153659646,2.381647825241089
1,1,3.3829240798950195
2,0.24995790608004578,2.5143799781799316
5,0.03996817699651462,2.3538966178894043
10,0.00997204963715041,2.258571147918701
1,1,3.3074076175689697
2,0.8041350430475495,2.680617332458496
5,0.0025160805725332,2.3653721809387207
